Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,37.17,37.21,36.61,36.99,-0.48%,46374928
2019-01-07 10:00:00,37.01,37.21,36.48,36.56,-1.22%,40753404
2019-01-07 11:00:00,36.57,36.97,36.5,36.9,0.91%,30304556
2019-01-07 12:00:00,36.9,37.03,36.73,36.81,-0.25%,21414864
2019-01-07 13:00:00,36.8,36.84,36.64,36.65,-0.43%,18190608
2019-01-07 14:00:00,36.64,37.1,36.56,37.06,1.15%,27948276
2019-01-07 15:00:00,37.09,37.1,36.89,36.96,-0.35%,19880384
2019-01-08 09:00:00,37.44,37.51,37.13,37.25,-0.51%,42849344
2019-01-08 10:00:00,37.25,37.56,37.15,37.39,0.38%,22457412
2019-01-08 11:00:00,37.39,37.68,37.31,37.62,0.62%,17474608
2019-01-08 12:00:00,37.62,37.78,37.44,37.78,0.42%,17935384
2019-01-08 13:00:00,37.78,37.86,37.63,37.74,-0.09%,16212288
2019-01-08 14:00:00,37.74,37.96,37.71,37.79,0.13%,16993084
2019-01-08 15:00:00,37.79,37.82,37.64,37.69,-0.26%,17147488
2019-01-09 09:00:00,37.86,38.2,37.42,38.16,0.81%,48333116
2019-01-09 10:00:00,38.16,38.32,38.0,38.21,0.12%,30703856
2019-01-09 11:00:00,38.22,38.57,38.2,38.5,0.73%,25321600
2019-01-09 12:00:00,38.5,38.59,38.39,38.45,-0.14%,16887476
2019-01-09 13:00:00,38.45,38.63,38.28,38.29,-0.42%,18247448
2019-01-09 14:00:00,38.28,38.62,38.23,38.54,0.66%,15622044
2019-01-09 15:00:00,38.54,38.54,38.28,38.33,-0.54%,23451504
2019-01-10 09:00:00,38.08,38.2,37.72,38.01,-0.16%,32886392
2019-01-10 10:00:00,38.01,38.17,37.92,38.05,0.09%,17011772
2019-01-10 11:00:00,38.05,38.31,38.05,38.27,0.58%,16124888
2019-01-10 12:00:00,38.28,38.41,38.08,38.2,-0.21%,13523396
2019-01-10 13:00:00,38.21,38.39,38.09,38.27,0.15%,22783044
2019-01-10 14:00:00,38.27,38.4,38.19,38.39,0.31%,13312408
2019-01-10 15:00:00,38.39,38.49,38.32,38.45,0.17%,13596232
2019-01-11 09:00:00,38.24,38.42,38.02,38.04,-0.52%,23583000
2019-01-11 10:00:00,38.06,38.25,37.96,38.01,-0.12%,16783360
2019-01-11 11:00:00,38.0,38.17,37.98,38.12,0.31%,10067724
2019-01-11 12:00:00,38.12,38.17,37.92,37.96,-0.42%,10728548
2019-01-11 13:00:00,37.96,38.02,37.88,37.99,0.07%,11212592
2019-01-11 14:00:00,37.99,38.08,37.97,38.03,0.11%,9737912
