Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,137.52,138.0,136.15,136.98,-0.39%,4493972
2019-01-07 10:00:00,137.02,137.45,135.93,135.93,-0.80%,2869435
2019-01-07 11:00:00,136.04,138.71,136.01,138.15,1.56%,3130141
2019-01-07 12:00:00,138.12,138.47,137.85,138.16,0.03%,1384097
2019-01-07 13:00:00,138.14,138.77,137.97,138.08,-0.04%,1735826
2019-01-07 14:00:00,138.1,138.86,137.93,138.31,0.15%,1454918
2019-01-07 15:00:00,138.35,138.42,137.71,137.97,-0.27%,2125503
2019-01-08 09:00:00,139.9,142.81,139.87,140.96,0.76%,7218585
2019-01-08 10:00:00,140.94,141.72,139.57,141.6,0.47%,3239644
2019-01-08 11:00:00,141.56,143.14,141.31,142.46,0.64%,3568179
2019-01-08 12:00:00,142.46,142.62,141.91,142.29,-0.12%,2260580
2019-01-08 13:00:00,142.29,142.48,141.71,142.39,0.07%,2327098
2019-01-08 14:00:00,142.37,142.58,141.64,142.25,-0.08%,1929417
2019-01-08 15:00:00,142.29,142.7,142.04,142.53,0.17%,2485241
2019-01-09 09:00:00,142.98,143.83,141.3,143.26,0.20%,5221900
2019-01-09 10:00:00,143.23,143.39,141.77,143.31,0.06%,2749362
2019-01-09 11:00:00,143.31,144.5,142.8,144.46,0.80%,2417040
2019-01-09 12:00:00,144.46,144.7,144.01,144.33,-0.09%,2161960
2019-01-09 13:00:00,144.33,144.51,142.84,142.93,-0.97%,2019553
2019-01-09 14:00:00,142.97,144.45,142.75,143.94,0.68%,2007736
2019-01-09 15:00:00,143.97,144.36,143.67,144.23,0.18%,2350180
2019-01-10 09:00:00,143.06,143.23,140.84,143.09,0.02%,4693308
2019-01-10 10:00:00,143.04,143.25,142.51,142.97,-0.05%,1831980
2019-01-10 11:00:00,142.98,143.72,142.53,143.72,0.52%,1407266
2019-01-10 12:00:00,143.71,144.5,143.05,143.33,-0.26%,2023544
2019-01-10 13:00:00,143.34,144.41,142.59,143.95,0.43%,1422627
2019-01-10 14:00:00,143.98,144.5,143.8,144.41,0.30%,1338098
2019-01-10 15:00:00,144.41,144.55,144.07,144.22,-0.13%,1467820
2019-01-11 09:00:00,143.52,143.83,142.61,142.67,-0.59%,2582190
2019-01-11 10:00:00,142.69,143.63,142.65,143.01,0.22%,1606073
2019-01-11 11:00:00,143.01,145.35,142.97,144.7,1.18%,2116732
2019-01-11 12:00:00,144.73,145.25,144.31,144.31,-0.29%,1260691
2019-01-11 13:00:00,144.32,144.42,143.58,143.87,-0.31%,1373937
2019-01-11 14:00:00,143.88,144.04,143.4,143.54,-0.24%,828167
2019-01-11 15:00:00,143.54,143.93,143.54,143.78,0.17%,1401238
2019-01-14 09:00:00,142.0,143.18,141.27,142.83,0.58%,4875257
2019-01-14 10:00:00,142.9,144.33,142.9,144.09,0.83%,2755466
2019-01-14 11:00:00,144.09,144.21,143.63,144.05,-0.03%,1321732
2019-01-14 12:00:00,144.07,145.3,143.9,145.02,0.66%,2044459
2019-01-14 13:00:00,145.04,145.89,145.03,145.38,0.23%,2121155
2019-01-14 14:00:00,145.39,146.56,145.33,146.07,0.47%,2403608
2019-01-14 15:00:00,146.07,146.41,145.39,145.39,-0.47%,2150522
2019-01-15 09:00:00,146.72,150.64,145.99,149.17,1.67%,8039747
2019-01-15 10:00:00,149.26,149.64,148.57,149.01,-0.17%,2856429
2019-01-15 11:00:00,149.0,150.36,148.62,149.97,0.65%,3286236
2019-01-15 12:00:00,149.97,150.06,149.21,149.95,-0.01%,1727089
2019-01-15 13:00:00,149.96,150.01,147.86,147.99,-1.31%,2097064
2019-01-15 14:00:00,148.0,148.75,147.78,148.32,0.22%,2158363
2019-01-15 15:00:00,148.31,149.1,148.25,148.92,0.41%,1937742
2019-01-16 09:00:00,149.0,149.6,147.62,147.81,-0.80%,4558039
2019-01-16 10:00:00,147.8,148.12,147.0,147.34,-0.31%,2899204
2019-01-16 11:00:00,147.32,147.62,147.0,147.46,0.10%,2450673
2019-01-16 12:00:00,147.48,148.18,147.21,147.78,0.20%,1579735
2019-01-16 13:00:00,147.78,148.09,147.53,147.8,0.01%,1154145
2019-01-16 14:00:00,147.8,148.15,147.69,148.0,0.14%,1749224
2019-01-16 15:00:00,148.0,148.05,147.42,147.46,-0.36%,1783017
2019-01-17 09:00:00,147.04,148.87,146.5,148.29,0.85%,3228230
2019-01-17 10:00:00,148.16,149.0,147.88,148.84,0.46%,1862628
2019-01-17 11:00:00,148.79,148.96,147.95,148.25,-0.36%,1127895
2019-01-17 12:00:00,148.27,148.47,147.88,147.92,-0.24%,1750977
2019-01-17 13:00:00,147.91,147.99,147.08,147.15,-0.51%,1577138
2019-01-17 14:00:00,147.19,148.53,147.0,147.96,0.52%,3169859
2019-01-17 15:00:00,147.93,148.29,147.78,148.27,0.23%,1726455
2019-01-18 09:00:00,149.8,150.37,148.83,150.31,0.34%,6741855
2019-01-18 10:00:00,150.34,152.39,150.26,151.86,1.01%,5416542
2019-01-18 11:00:00,151.88,152.23,151.6,151.75,-0.09%,1926691
2019-01-18 12:00:00,151.77,151.96,150.53,150.65,-0.74%,2212838
2019-01-18 13:00:00,150.65,150.95,149.2,149.33,-0.87%,3251646
2019-01-18 14:00:00,149.3,150.01,148.56,149.3,0,5491695
2019-01-18 15:00:00,149.3,150.08,149.27,150.01,0.48%,3205806
2019-01-22 09:00:00,149.05,151.52,149.0,150.36,0.88%,5953476
2019-01-22 10:00:00,150.41,150.62,149.22,149.83,-0.39%,2307633
2019-01-22 11:00:00,149.81,150.12,148.6,148.6,-0.81%,2374224
2019-01-22 12:00:00,148.59,148.72,147.4,147.72,-0.59%,1962811
2019-01-22 13:00:00,147.69,147.98,147.38,147.55,-0.09%,1315553
2019-01-22 14:00:00,147.58,147.92,146.37,147.12,-0.31%,2580180
2019-01-22 15:00:00,147.11,147.81,146.67,147.81,0.48%,2434680
2019-01-23 09:00:00,148.26,148.78,144.92,145.36,-1.96%,5459902
2019-01-23 10:00:00,145.36,145.95,144.52,144.88,-0.33%,2981860
2019-01-23 11:00:00,144.93,145.54,144.06,144.47,-0.32%,2208080
2019-01-23 12:00:00,144.49,144.79,144.0,144.21,-0.19%,1421317
2019-01-23 13:00:00,144.21,144.54,143.07,143.54,-0.47%,2702316
