security,ticker,McapRank,TurnRank,VolatilityRank,PriceRank,LitVol,OrderVol,Hidden,TradesForHidden,HiddenVol,TradeVolForHidden,Cancels,LitTrades,OddLots,TradesForOddLots,OddLotVol,TradeVolForOddLots,Cancel_to_Trade,Trade_to_Order_Volume,Hidden_Rate,Hidden_Volume,Oddlot_Rate,Oddlot_Volume,date,qtr
Stock,AAPL,10,8,3,10,22336.604,703608.888,25568,218034,3327.938,25662.663,3374201,192199,82550,217702,2770.731,25629.885,17.55576772,3.174576726,11.72661145,12.96801505,37.91880644,10.81054792,7/1/2019,31/3/2019
Stock,AAPL,10,7,2,10,16156.301,574940.124,16679,170713,1871.922,18028.183,2916081,153774,64504,170430,2110.129,18003.152,18.96342034,2.810084098,9.770199106,10.38330929,37.84779675,11.72088643,8/1/2019,31/3/2019
Stock,AAPL,10,7,3,10,18145.411,654215.132,18766,178969,2210.069,20355.445,3321039,160002,62390,178749,2217.813,20337.282,20.7562343,2.773615301,10.48561483,10.85738484,34.90369177,10.9051593,9/1/2019,31/3/2019
Stock,AAPL,10,7,2,10,12447.008,528220.21,14425,126981,1851.131,14295.452,2608577,112371,42505,126786,1487.142,14279.714,23.2139698,2.356405106,11.35996724,12.94909038,33.52499487,10.41436824,10/1/2019,31/3/2019
Stock,AAPL,10,6,2,10,11017.839,454024.21,8593,108715,975.254,11991.86,2106440,99955,37524,108539,1293.234,11978.517,21.07388325,2.426707378,7.904153061,8.132633303,34.57190503,10.79627804,11/1/2019,31/3/2019
Stock,AAPL,10,7,2,10,13352.65,435189.153,12253,130660,1592.383,14943.762,2066154,117987,47590,130192,1509.787,14905.098,17.51170892,3.068240536,9.377774376,10.65583753,36.5537053,10.12933293,14/1/2019,31/3/2019
Stock,AAPL,10,7,1,10,11894.064,520550.729,9748,116780,1092.468,12986.409,2465012,106825,40648,116546,1398.855,12966.306,23.0752352,2.284900076,8.347319747,8.412394835,34.87721586,10.78838491,15/1/2019,31/3/2019
Stock,AAPL,10,6,2,10,11943.995,528382.625,10394,118800,1177.976,13120.735,2518520,108204,42137,118581,1435.49,13102.639,23.27566449,2.260482165,8.749158249,8.977972652,35.53436048,10.9557319,16/1/2019,31/3/2019
Stock,AAPL,10,6,3,10,11962.346,459477.926,14854,122421,1775.744,13737.776,2424152,107461,42619,122294,1427.626,13729.054,22.55843515,2.603464785,12.13353918,12.92599326,34.84962468,10.39857517,17/1/2019,31/3/2019
Stock,AAPL,10,6,1,10,11762.749,421867.102,13009,120588,1470.44,13233.173,2197985,107473,41434,120455,1427.969,13222.988,20.45150875,2.78825937,10.78797227,11.11177191,34.39790793,10.7991401,18/1/2019,31/3/2019
Stock,AAPL,10,6,2,10,12708.652,469685.648,13145,135989,1353.765,14057.955,2619971,122725,49492,135857,1610.993,14045.012,21.34830719,2.705778227,9.666223003,9.629885712,36.429481,11.47021448,22/1/2019,31/3/2019
Stock,AAPL,10,5,2,10,10632.583,582315.393,7791,104867,773.597,11406.17,3001884,96949,36428,104735,1199.709,11395.499,30.96353753,1.82591481,7.429410587,6.782267843,34.78111424,10.52791984,23/1/2019,31/3/2019
Stock,AAPL,10,6,2,10,11190.63,494677.479,13043,117544,1372.275,12562.617,2557556,104372,40620,117397,1354.159,12549.401,24.50423485,2.262207292,11.09627033,10.92348035,34.60054346,10.79062658,24/1/2019,31/3/2019
Stock,AAPL,10,7,1,10,14247.019,408369.386,12976,137556,1628.08,15873.779,2144951,124371,48230,137325,1618.077,15855.772,17.24639184,3.488757847,9.433249004,10.2564109,35.12106317,10.20497141,25/1/2019,31/3/2019
Stock,AAPL,10,6,2,10,10512.945,559697.158,7927,106843,797.72,11310.014,2807276,98709,39690,106627,1335.328,11293.816,28.43991936,1.878327387,7.419297474,7.053218502,37.22321738,11.82353245,28/1/2019,31/3/2019
