Date,Open,High,Low,Close,% Change,Volume
4/1/2021 9:30,239.68,247.91,239.06,246.72,2.94%,48538308
4/1/2021 10:30,246.67,248.16,242.75,245.21,-0.59%,25522500
4/1/2021 11:30,245.11,245.25,239.35,241.28,-1.56%,21004254
4/1/2021 12:30,241.25,244,239.97,243.73,1.03%,13451874
4/1/2021 13:30,243.7,245.5,242.09,242.49,-0.50%,11721450
4/1/2021 14:30,242.43,244.23,241.43,243.6,0.48%,11239215
4/1/2021 15:30,243.62,244.26,242.75,243.26,-0.15%,7376472
5/1/2021 9:30,241.28,245.23,239.73,244,1.13%,31328343
5/1/2021 10:30,243.97,246.25,243.52,246.19,0.91%,14987139
5/1/2021 11:30,246.26,246.95,244.54,245.89,-0.15%,11412648
5/1/2021 12:30,245.89,246.83,245.05,246.25,0.14%,8211546
5/1/2021 13:30,246.28,246.84,245.67,246.13,-0.06%,5762733
5/1/2021 14:30,246.15,246.47,244.54,245.3,-0.34%,7665231
5/1/2021 15:30,245.3,245.6,243.71,245.04,-0.11%,7751484
6/1/2021 9:30,252.83,253.83,249.7,252.46,-0.15%,37722651
6/1/2021 10:30,252.5,256.66,251.84,256.47,1.57%,22897647
6/1/2021 11:30,256.54,257.8,256.13,257.05,0.20%,15695025
6/1/2021 12:30,257.06,257.5,256.11,256.56,-0.19%,7931970
6/1/2021 13:30,256.58,258,254.8,254.91,-0.65%,10929795
6/1/2021 14:30,254.84,255.98,250,252.89,-0.76%,24857001
6/1/2021 15:30,252.84,253.98,251.67,251.99,-0.34%,9497853
7/1/2021 9:30,259.35,264.67,258.4,263,1.41%,39737334
7/1/2021 10:30,262.97,269.56,262.94,269.15,2.35%,34194729
7/1/2021 11:30,269.19,269.36,265.91,266.6,-0.96%,16955631
7/1/2021 12:30,266.7,267.2,265.11,266.52,-0.07%,11212365
7/1/2021 13:30,266.57,270,266.5,269.93,1.26%,15122442
7/1/2021 14:30,269.92,270.93,268.75,270.53,0.23%,16344546
7/1/2021 15:30,270.53,272.33,269.86,272.07,0.57%,11802741
8/1/2021 9:30,285.18,291.79,279.46,286.37,0.41%,70795797
8/1/2021 10:30,286.44,294.83,285.67,294.09,2.67%,39221337
8/1/2021 11:30,294.18,294.63,289.68,293.04,-0.39%,22185150
8/1/2021 12:30,293.02,294.28,287.04,289.71,-1.13%,20276775
8/1/2021 13:30,289.61,290.5,282.39,287.21,-0.83%,31087839
8/1/2021 14:30,287.19,290.51,284.97,289.1,0.66%,17492319
8/1/2021 15:30,289.07,294.67,288.77,293.41,1.50%,18775086
11/1/2021 9:30,283.13,284.81,272.33,282.6,-0.19%,67547862
11/1/2021 10:30,282.57,283.77,277.8,279.85,-0.96%,21120987
11/1/2021 11:30,279.82,281.14,278.11,278.72,-0.39%,11776530
11/1/2021 12:30,278.68,279.99,276,276.2,-0.89%,13535595
11/1/2021 13:30,276.17,277.45,273,273.86,-0.84%,18928365
11/1/2021 14:30,273.76,276.24,268.35,268.82,-1.81%,23358696
11/1/2021 15:30,268.83,272.97,267.96,270.39,0.58%,16344093
12/1/2021 9:30,276.95,288.33,275.78,286.67,3.51%,47062458
12/1/2021 10:30,286.73,288.86,285.67,287.37,0.22%,21630579
12/1/2021 11:30,287.49,289.33,283,286,-0.52%,22217265
12/1/2021 12:30,286.04,286.67,284.79,286.33,0.10%,9189300
12/1/2021 13:30,286.25,286.74,282.55,283.78,-0.86%,10197930
12/1/2021 14:30,283.7,286.7,283.51,286.16,0.87%,11629410
12/1/2021 15:30,286.14,286.35,282.87,283.2,-1.03%,10195659
13/1/2021 9:30,285.67,286.82,277.84,279.88,-2.02%,32889306
13/1/2021 10:30,279.98,282.27,279,280.81,0.30%,11056386
13/1/2021 11:30,280.84,280.88,278.03,279.72,-0.40%,8306763
13/1/2021 12:30,279.8,280.49,277.33,279.32,-0.17%,9706653
13/1/2021 13:30,279.27,285.15,278.86,284.6,1.91%,13218396
13/1/2021 14:30,284.68,286,283.17,283.81,-0.30%,12635961
13/1/2021 15:30,283.82,285.25,283.25,284.74,0.33%,6892668
14/1/2021 9:30,281.13,286.78,279.59,286,1.73%,30861027
14/1/2021 10:30,286,287.67,284.07,284.41,-0.55%,15933849
14/1/2021 11:30,284.34,286,283.4,285.43,0.38%,8731146
14/1/2021 12:30,285.43,286,281.61,281.7,-1.31%,10834977
14/1/2021 13:30,281.63,284.27,281.33,284.08,0.87%,8614941
14/1/2021 14:30,284.07,285,281.15,282.22,-0.65%,9750975
14/1/2021 15:30,282.19,283,281.23,281.67,-0.19%,6392295
15/1/2021 9:30,284.67,286.63,278.67,281.11,-1.25%,34571781
15/1/2021 10:30,281.11,282,278.33,281.72,0.22%,17071452
15/1/2021 11:30,281.72,281.83,279,279.07,-0.94%,8104371
15/1/2021 12:30,279.04,280.26,277.37,279.9,0.31%,11054598
15/1/2021 13:30,279.94,281.5,276.33,277.48,-0.88%,10768875
15/1/2021 14:30,277.47,277.77,273.03,275,-0.89%,20389755
15/1/2021 15:30,275,276.29,274.15,275.39,0.14%,9504555
19/1/2021 9:30,279.46,283.01,278.6,280.05,0.21%,25134492
19/1/2021 10:30,280.15,281.13,277.67,279.43,-0.26%,11113050
19/1/2021 11:30,279.47,280.06,278.5,279.38,-0.03%,7099218
19/1/2021 12:30,279.44,279.57,278.7,278.88,-0.20%,4748856
19/1/2021 13:30,278.91,282,278.39,279.89,0.35%,10035699
19/1/2021 14:30,279.87,280.5,278.67,280.01,0.05%,7561218
19/1/2021 15:30,280.1,281.67,279.79,281.52,0.51%,5758740
20/1/2021 9:30,286.29,286.5,281.33,283.13,-1.10%,24055035
20/1/2021 10:30,283.16,283.5,279.1,282.07,-0.38%,14063133
20/1/2021 11:30,282.12,283.37,281.39,282.18,0.02%,8070348
20/1/2021 12:30,282.29,283.5,281.93,282.1,-0.07%,6786999
20/1/2021 13:30,282.18,284.84,282.12,284.68,0.89%,6961653
