Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,80.22,80.85,79.5,80.17,-0.06%,46727420
2019-01-07 10:00:00,80.22,81.32,80.22,80.7,0.60%,27721900
2019-01-07 11:00:00,80.75,81.44,80.66,81.19,0.54%,18298340
2019-01-07 12:00:00,81.18,81.33,81.07,81.25,0.09%,11421200
2019-01-07 13:00:00,81.26,81.72,80.89,81.0,-0.32%,19760700
2019-01-07 14:00:00,81.02,81.61,80.93,81.54,0.64%,13199980
2019-01-07 15:00:00,81.55,81.72,81.25,81.47,-0.09%,13690900
2019-01-08 09:00:00,83.25,83.82,82.3,82.5,-0.90%,59791620
2019-01-08 10:00:00,82.49,82.59,80.86,82.19,-0.37%,40442020
2019-01-08 11:00:00,82.15,83.02,81.91,82.79,0.77%,21199840
2019-01-08 12:00:00,82.81,82.94,82.28,82.7,-0.13%,13057880
2019-01-08 13:00:00,82.7,83.2,82.38,82.93,0.28%,13982860
2019-01-08 14:00:00,82.88,83.1,82.63,82.81,-0.09%,11345760
2019-01-08 15:00:00,82.84,83.02,82.66,82.8,-0.04%,10735980
2019-01-09 09:00:00,82.8,83.38,82.07,82.9,0.12%,46403060
2019-01-09 10:00:00,82.85,83.03,82.35,82.9,0.06%,18703400
2019-01-09 11:00:00,82.9,83.18,82.64,83.02,0.15%,9881520
2019-01-09 12:00:00,83.06,83.17,82.85,82.97,-0.10%,6398300
2019-01-09 13:00:00,82.98,83.35,82.75,82.91,-0.08%,14825140
2019-01-09 14:00:00,82.87,83.35,82.78,83.23,0.43%,10719600
2019-01-09 15:00:00,83.24,83.24,82.6,83.01,-0.28%,12685360
2019-01-10 09:00:00,82.07,82.28,81.11,82.18,0.13%,42888740
2019-01-10 10:00:00,82.2,83.0,82.07,82.55,0.43%,21213520
2019-01-10 11:00:00,82.57,82.88,82.48,82.71,0.17%,10626440
2019-01-10 12:00:00,82.7,83.15,82.2,82.59,-0.13%,16385380
2019-01-10 13:00:00,82.6,82.88,82.02,82.68,0.10%,13732680
2019-01-10 14:00:00,82.67,82.8,82.47,82.75,0.10%,9411760
2019-01-10 15:00:00,82.74,82.99,82.64,82.81,0.08%,10218380
2019-01-11 09:00:00,81.98,83.0,81.82,82.25,0.33%,32315380
2019-01-11 10:00:00,82.24,82.55,82.04,82.24,0.00%,13779420
2019-01-11 11:00:00,82.23,82.53,82.16,82.28,0.07%,7730280
2019-01-11 12:00:00,82.29,82.41,81.84,82.05,-0.29%,9992160
2019-01-11 13:00:00,82.05,82.17,81.83,82.06,0.01%,7970840
2019-01-11 14:00:00,82.05,82.2,81.94,82.06,0.01%,6853960
2019-01-11 15:00:00,82.06,82.22,81.95,82.02,-0.05%,8722100
2019-01-14 09:00:00,80.61,81.5,79.76,81.46,1.05%,34484320
2019-01-14 10:00:00,81.45,82.26,81.43,81.98,0.65%,21784680
2019-01-14 11:00:00,81.98,82.4,81.78,81.82,-0.19%,12908100
2019-01-14 12:00:00,81.84,81.87,81.52,81.65,-0.23%,8414880
2019-01-14 13:00:00,81.69,81.88,81.25,81.33,-0.44%,10327640
2019-01-14 14:00:00,81.33,81.55,81.11,81.2,-0.15%,10319080
2019-01-14 15:00:00,81.21,81.33,80.75,80.94,-0.34%,10713640
2019-01-15 09:00:00,81.58,82.5,81.34,82.09,0.63%,31752460
2019-01-15 10:00:00,82.14,82.5,81.98,82.45,0.37%,12895060
2019-01-15 11:00:00,82.45,83.37,82.44,83.14,0.83%,20781640
2019-01-15 12:00:00,83.15,83.36,83.07,83.28,0.15%,8808060
2019-01-15 13:00:00,83.3,83.46,82.53,82.55,-0.90%,12732760
2019-01-15 14:00:00,82.55,83.43,82.52,83.4,1.02%,13234820
2019-01-15 15:00:00,83.4,83.75,83.38,83.74,0.40%,14255320
2019-01-16 09:00:00,84.2,85.25,84.03,84.67,0.56%,42564920
2019-01-16 10:00:00,84.7,84.84,83.8,84.75,0.05%,25876500
2019-01-16 11:00:00,84.75,84.86,84.32,84.47,-0.34%,10218900
2019-01-16 12:00:00,84.44,84.85,84.35,84.5,0.07%,8902340
2019-01-16 13:00:00,84.49,84.75,84.31,84.63,0.17%,6611860
2019-01-16 14:00:00,84.64,84.75,84.36,84.48,-0.19%,11223240
2019-01-16 15:00:00,84.46,84.5,84.09,84.14,-0.38%,12789380
2019-01-17 09:00:00,84.0,84.56,83.88,84.28,0.33%,25728000
2019-01-17 10:00:00,84.29,84.51,84.12,84.37,0.09%,7708200
2019-01-17 11:00:00,84.33,84.45,84.16,84.29,-0.04%,5708460
2019-01-17 12:00:00,84.33,84.52,84.29,84.44,0.13%,6616340
2019-01-17 13:00:00,84.44,84.53,84.3,84.34,-0.12%,4440400
2019-01-17 14:00:00,84.33,85.0,84.3,84.72,0.46%,18607580
2019-01-17 15:00:00,84.71,84.85,84.5,84.65,-0.07%,10184560
2019-01-18 09:00:00,85.61,85.65,84.88,85.19,-0.49%,36568660
2019-01-18 10:00:00,85.13,85.61,85.11,85.52,0.46%,20263440
2019-01-18 11:00:00,85.53,85.75,85.45,85.67,0.16%,11901140
2019-01-18 12:00:00,85.69,85.8,85.3,85.37,-0.38%,9495100
2019-01-18 13:00:00,85.4,85.42,84.91,84.92,-0.56%,10237980
2019-01-18 14:00:00,84.91,84.99,84.71,84.8,-0.14%,12296940
2019-01-18 15:00:00,84.82,84.9,84.58,84.79,-0.03%,12359340
2019-01-22 09:00:00,84.05,84.07,82.8,83.15,-1.08%,30933700
2019-01-22 10:00:00,83.21,83.37,82.88,83.06,-0.18%,9810100
2019-01-22 11:00:00,83.06,83.18,82.31,82.67,-0.46%,12562440
2019-01-22 12:00:00,82.66,82.89,81.52,81.8,-1.04%,15051300
2019-01-22 13:00:00,81.8,82.04,81.38,81.39,-0.50%,10821340
