Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,61.9,63.42,61.9,63.13,1.99%,256347
2019-01-07 10:00:00,63.11,63.7,63.11,63.33,0.35%,337728
2019-01-07 11:00:00,63.36,64.14,63.34,64.12,1.20%,257912
2019-01-07 12:00:00,64.12,64.57,64.0,64.49,0.58%,266167
2019-01-07 13:00:00,64.47,64.63,64.21,64.37,-0.16%,355754
2019-01-07 14:00:00,64.35,64.54,64.12,64.53,0.29%,264346
2019-01-07 15:00:00,64.54,64.55,64.41,64.49,-0.08%,318198
2019-01-08 09:00:00,65.49,65.79,64.61,64.78,-1.08%,248098
2019-01-08 10:00:00,64.8,64.8,64.36,64.48,-0.50%,215060
2019-01-08 11:00:00,64.37,65.13,64.17,65.13,1.18%,90276
2019-01-08 12:00:00,65.1,65.15,64.74,65.15,0.08%,133557
2019-01-08 13:00:00,65.16,65.43,65.05,65.33,0.26%,151687
2019-01-08 14:00:00,65.33,65.58,65.33,65.55,0.33%,204178
2019-01-08 15:00:00,65.56,65.66,65.49,65.65,0.14%,256134
2019-01-09 09:00:00,65.73,66.45,65.59,66.2,0.72%,172374
2019-01-09 10:00:00,66.22,66.39,65.85,66.37,0.23%,112530
2019-01-09 11:00:00,66.35,66.79,66.34,66.7,0.52%,86568
2019-01-09 12:00:00,66.67,67.02,66.67,67.01,0.51%,94586
2019-01-09 13:00:00,66.98,66.98,66.66,66.76,-0.33%,104183
2019-01-09 14:00:00,66.72,67.17,66.68,67.12,0.60%,113706
2019-01-09 15:00:00,67.13,67.28,66.9,67.07,-0.09%,208984
2019-01-10 09:00:00,66.53,66.73,66.32,66.52,-0.02%,119125
2019-01-10 10:00:00,66.71,67.08,66.6,66.68,-0.04%,88937
2019-01-10 11:00:00,66.67,67.16,66.63,67.12,0.67%,68719
2019-01-10 12:00:00,67.11,67.19,66.87,67.01,-0.15%,129869
2019-01-10 13:00:00,67.0,67.15,66.88,67.06,0.09%,188122
2019-01-10 14:00:00,67.1,67.11,66.73,67.1,0,154236
2019-01-10 15:00:00,67.09,67.28,67.02,67.26,0.25%,175554
2019-01-11 09:00:00,66.69,67.59,66.69,67.26,0.85%,147959
2019-01-11 10:00:00,67.22,67.39,66.94,67.02,-0.30%,177765
2019-01-11 11:00:00,67.01,67.17,67.0,67.11,0.14%,100902
2019-01-11 12:00:00,67.11,67.21,66.97,67.05,-0.09%,104473
2019-01-11 13:00:00,67.05,67.09,66.94,66.96,-0.13%,97903
2019-01-11 14:00:00,66.99,67.03,66.77,66.87,-0.18%,142981
2019-01-11 15:00:00,66.9,67.22,66.88,67.22,0.48%,204511
2019-01-14 09:00:00,66.77,67.13,66.6,67.02,0.38%,182467
2019-01-14 10:00:00,66.97,67.3,66.95,67.3,0.49%,123377
2019-01-14 11:00:00,67.35,67.49,67.31,67.43,0.12%,82100
2019-01-14 12:00:00,67.45,67.59,67.38,67.58,0.19%,69156
2019-01-14 13:00:00,67.57,67.7,67.55,67.6,0.04%,115787
2019-01-14 14:00:00,67.62,67.67,67.49,67.57,-0.07%,105071
2019-01-14 15:00:00,67.53,67.58,67.29,67.34,-0.28%,219084
2019-01-15 09:00:00,67.42,68.49,67.35,68.32,1.34%,203256
2019-01-15 10:00:00,68.36,68.4,68.04,68.34,-0.03%,155175
2019-01-15 11:00:00,68.36,68.46,68.02,68.44,0.12%,130235
2019-01-15 12:00:00,68.45,68.45,68.16,68.19,-0.38%,89037
2019-01-15 13:00:00,68.19,68.36,68.0,68.0,-0.28%,128243
2019-01-15 14:00:00,67.97,68.33,67.97,68.29,0.47%,122183
2019-01-15 15:00:00,68.31,68.51,68.31,68.51,0.30%,206470
2019-01-16 09:00:00,68.51,68.8,68.07,68.14,-0.54%,208203
2019-01-16 10:00:00,68.12,68.61,67.88,68.61,0.72%,186905
2019-01-16 11:00:00,68.57,68.8,68.57,68.75,0.26%,124437
2019-01-16 12:00:00,68.72,68.99,68.69,68.93,0.30%,114786
2019-01-16 13:00:00,68.93,69.38,68.79,69.18,0.36%,211712
2019-01-16 14:00:00,69.18,69.39,69.18,69.2,0.03%,142248
2019-01-16 15:00:00,69.21,69.34,69.02,69.03,-0.26%,343543
2019-01-17 09:00:00,68.96,69.21,68.17,68.35,-0.88%,292423
2019-01-17 10:00:00,68.3,68.52,67.99,68.5,0.29%,260653
2019-01-17 11:00:00,68.49,68.5,68.23,68.3,-0.28%,238998
2019-01-17 12:00:00,68.34,68.35,67.82,68.16,-0.26%,175389
2019-01-17 13:00:00,68.17,68.42,68.16,68.3,0.18%,221390
2019-01-17 14:00:00,68.3,69.0,68.24,69.0,1.03%,429032
2019-01-17 15:00:00,69.02,69.23,68.93,69.21,0.28%,306403
2019-01-18 09:00:00,69.47,69.91,68.88,69.28,-0.27%,336791
2019-01-18 10:00:00,69.29,69.83,69.11,69.75,0.66%,227567
