Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,47.58,47.75,47.03,47.05,-1.11%,2005665
2019-01-07 10:00:00,47.05,47.29,47.05,47.17,0.24%,1398586
2019-01-07 11:00:00,47.16,47.27,47.11,47.19,0.06%,1114069
2019-01-07 12:00:00,47.2,47.31,47.16,47.28,0.17%,1029633
2019-01-07 13:00:00,47.28,47.29,47.02,47.1,-0.37%,1183344
2019-01-07 14:00:00,47.1,47.11,46.9,46.99,-0.24%,1914917
2019-01-07 15:00:00,46.99,47.05,46.93,46.95,-0.07%,1804220
2019-01-08 09:00:00,47.28,47.42,47.1,47.16,-0.26%,3007120
2019-01-08 10:00:00,47.15,47.39,47.05,47.32,0.36%,1975529
2019-01-08 11:00:00,47.32,47.45,47.23,47.37,0.11%,1575924
2019-01-08 12:00:00,47.37,47.37,47.13,47.32,-0.11%,1377635
2019-01-08 13:00:00,47.31,47.43,47.29,47.33,0.04%,1284157
2019-01-08 14:00:00,47.33,47.56,47.32,47.56,0.48%,1624558
2019-01-08 15:00:00,47.56,47.57,47.42,47.45,-0.23%,2124795
2019-01-09 09:00:00,47.17,47.25,46.73,46.79,-0.81%,3425378
2019-01-09 10:00:00,46.81,46.85,46.6,46.62,-0.40%,2248399
2019-01-09 11:00:00,46.62,46.67,46.5,46.53,-0.20%,1958858
2019-01-09 12:00:00,46.53,46.63,46.51,46.57,0.09%,1479374
2019-01-09 13:00:00,46.57,46.68,46.52,46.59,0.03%,2358586
2019-01-09 14:00:00,46.59,46.67,46.51,46.6,0.02%,2180541
2019-01-09 15:00:00,46.6,46.64,46.43,46.57,-0.08%,2268703
2019-01-10 09:00:00,46.58,46.69,46.36,46.67,0.19%,1988558
2019-01-10 10:00:00,46.68,46.89,46.63,46.8,0.26%,1225684
2019-01-10 11:00:00,46.8,46.85,46.75,46.83,0.06%,1104637
2019-01-10 12:00:00,46.84,46.97,46.73,46.83,-0.02%,889059
2019-01-10 13:00:00,46.83,46.96,46.71,46.95,0.26%,994506
2019-01-10 14:00:00,46.96,46.96,46.83,46.88,-0.16%,1228196
2019-01-10 15:00:00,46.88,47.08,46.87,47.07,0.41%,2423625
2019-01-11 09:00:00,47.25,47.31,46.99,47.22,-0.06%,1874246
2019-01-11 10:00:00,47.22,47.22,47.1,47.19,-0.07%,872560
2019-01-11 11:00:00,47.2,47.21,47.1,47.14,-0.13%,791127
2019-01-11 12:00:00,47.15,47.2,47.03,47.04,-0.21%,537718
2019-01-11 13:00:00,47.04,47.17,47.04,47.17,0.27%,574515
2019-01-11 14:00:00,47.16,47.21,47.12,47.17,0.02%,816186
2019-01-11 15:00:00,47.17,47.35,47.17,47.33,0.34%,1441765
2019-01-14 09:00:00,47.31,47.39,47.15,47.26,-0.11%,1927150
2019-01-14 10:00:00,47.26,47.36,47.16,47.17,-0.19%,1004152
2019-01-14 11:00:00,47.16,47.21,47.04,47.15,-0.01%,1138272
2019-01-14 12:00:00,47.14,47.18,47.01,47.05,-0.19%,644415
2019-01-14 13:00:00,47.04,47.07,46.99,47.0,-0.10%,670003
2019-01-14 14:00:00,47.0,47.15,47.0,47.13,0.28%,925876
2019-01-14 15:00:00,47.14,47.23,47.04,47.13,-0.02%,1740347
2019-01-15 09:00:00,46.94,47.35,46.81,47.29,0.75%,1913954
