Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,101.75,102.01,100.99,101.62,-0.13%,6958585
2019-01-07 10:00:00,101.63,102.55,101.63,102.3,0.66%,5280152
2019-01-07 11:00:00,102.33,103.26,102.29,102.94,0.59%,4492433
2019-01-07 12:00:00,102.94,103.23,102.81,103.05,0.11%,2505503
2019-01-07 13:00:00,103.02,103.18,102.35,102.35,-0.65%,3503149
2019-01-07 14:00:00,102.34,102.43,101.97,102.23,-0.11%,3397994
2019-01-07 15:00:00,102.25,102.41,102.01,102.05,-0.20%,3728306
2019-01-08 09:00:00,103.06,103.97,102.5,102.54,-0.50%,8146896
2019-01-08 10:00:00,102.55,102.69,101.81,102.14,-0.40%,4385162
2019-01-08 11:00:00,102.13,102.67,101.72,102.52,0.38%,2913118
2019-01-08 12:00:00,102.52,102.72,102.15,102.59,0.07%,2397866
2019-01-08 13:00:00,102.56,103.16,102.46,102.86,0.29%,2623945
2019-01-08 14:00:00,102.86,103.1,102.51,102.89,0.02%,2425080
2019-01-08 15:00:00,102.91,102.95,102.61,102.85,-0.06%,3310593
2019-01-09 09:00:00,103.89,104.29,103.55,104.08,0.19%,7193536
2019-01-09 10:00:00,104.09,104.45,103.25,104.36,0.26%,4712039
2019-01-09 11:00:00,104.37,104.61,103.99,104.35,-0.02%,3525964
2019-01-09 12:00:00,104.37,104.79,104.33,104.66,0.28%,2987124
2019-01-09 13:00:00,104.67,104.87,104.0,104.24,-0.41%,3373141
2019-01-09 14:00:00,104.24,104.49,104.06,104.25,0.00%,3054196
2019-01-09 15:00:00,104.25,104.39,103.89,104.3,0.05%,3618788
2019-01-10 09:00:00,103.1,103.56,102.6,103.51,0.39%,5526963
2019-01-10 10:00:00,103.52,103.64,103.23,103.25,-0.26%,2736747
2019-01-10 11:00:00,103.26,103.6,103.0,103.04,-0.21%,2887803
2019-01-10 12:00:00,103.05,103.46,102.63,102.85,-0.20%,3238377
2019-01-10 13:00:00,102.85,103.36,102.38,103.01,0.16%,2983593
2019-01-10 14:00:00,103.01,103.45,102.9,103.31,0.29%,3434101
2019-01-10 15:00:00,103.32,103.75,103.2,103.59,0.26%,3160767
2019-01-11 09:00:00,103.27,103.35,101.95,102.06,-1.17%,5939887
2019-01-11 10:00:00,102.06,102.54,101.93,101.98,-0.08%,3334614
2019-01-11 11:00:00,101.98,102.41,101.93,102.16,0.18%,2851645
2019-01-11 12:00:00,102.16,102.26,101.64,101.85,-0.30%,2601915
2019-01-11 13:00:00,101.84,102.15,101.67,102.14,0.30%,2540248
2019-01-11 14:00:00,102.15,102.63,102.14,102.39,0.23%,3418606
2019-01-11 15:00:00,102.4,102.91,102.39,102.77,0.36%,3974917
2019-01-14 09:00:00,101.97,102.18,101.27,101.71,-0.26%,5765891
2019-01-14 10:00:00,101.7,102.18,101.69,102.01,0.30%,2875388
2019-01-14 11:00:00,102.01,102.18,101.87,101.93,-0.08%,2601594
2019-01-14 12:00:00,101.93,101.99,101.78,101.82,-0.11%,1787474
2019-01-14 13:00:00,101.83,101.92,101.64,101.71,-0.12%,1760034
2019-01-14 14:00:00,101.72,102.44,101.72,102.33,0.60%,2387256
2019-01-14 15:00:00,102.34,102.38,101.92,102.03,-0.30%,2999883
2019-01-15 09:00:00,102.32,104.79,101.93,104.51,2.14%,8023933
2019-01-15 10:00:00,104.56,104.71,104.17,104.29,-0.26%,3675155
2019-01-15 11:00:00,104.28,104.85,104.19,104.69,0.40%,3406404
2019-01-15 12:00:00,104.7,104.98,104.58,104.97,0.26%,2166209
2019-01-15 13:00:00,104.97,105.04,104.25,104.28,-0.66%,3412733
2019-01-15 14:00:00,104.25,104.82,103.97,104.71,0.44%,3206557
2019-01-15 15:00:00,104.71,105.02,104.65,104.98,0.26%,4040188
2019-01-16 09:00:00,105.29,106.25,105.29,105.67,0.36%,7608499
2019-01-16 10:00:00,105.66,105.7,104.97,105.53,-0.12%,4543738
2019-01-16 11:00:00,105.52,105.7,105.07,105.21,-0.29%,2668238
2019-01-16 12:00:00,105.21,105.47,105.0,105.13,-0.08%,2204586
2019-01-16 13:00:00,105.12,105.49,105.07,105.48,0.34%,2021142
2019-01-16 14:00:00,105.5,105.64,105.3,105.59,0.09%,2264441
2019-01-16 15:00:00,105.58,105.59,105.22,105.38,-0.19%,3822812
2019-01-17 09:00:00,105.05,106.12,104.76,105.44,0.37%,5765788
2019-01-17 10:00:00,105.44,105.54,105.1,105.37,-0.07%,2929325
2019-01-17 11:00:00,105.35,105.72,105.31,105.51,0.16%,2124383
2019-01-17 12:00:00,105.53,105.63,105.25,105.5,-0.03%,2080909
2019-01-17 13:00:00,105.5,105.57,105.35,105.48,-0.01%,1569078
2019-01-17 14:00:00,105.47,106.63,105.38,105.87,0.37%,5892151
2019-01-17 15:00:00,105.86,106.17,105.74,106.17,0.29%,3271361
2019-01-18 09:00:00,107.48,107.7,105.94,106.28,-1.12%,13485662
2019-01-18 10:00:00,106.3,107.53,106.3,107.49,1.12%,4390114
2019-01-18 11:00:00,107.48,107.7,107.19,107.7,0.20%,2969182
2019-01-18 12:00:00,107.7,107.9,107.61,107.66,-0.04%,2872621
2019-01-18 13:00:00,107.66,107.69,107.22,107.27,-0.36%,2118992
2019-01-18 14:00:00,107.25,107.6,106.96,107.42,0.16%,2611602
2019-01-18 15:00:00,107.43,107.78,107.25,107.69,0.24%,3727314
2019-01-22 09:00:00,106.91,107.09,106.44,106.78,-0.12%,5278794
2019-01-22 10:00:00,106.77,107.04,106.55,106.58,-0.18%,2703566
2019-01-22 11:00:00,106.57,106.69,105.89,106.02,-0.52%,3162439
2019-01-22 12:00:00,106.02,106.23,105.49,105.79,-0.21%,2944027
2019-01-22 13:00:00,105.78,105.78,105.13,105.14,-0.60%,2755946
2019-01-22 14:00:00,105.13,105.57,104.88,105.52,0.37%,3803849
2019-01-22 15:00:00,105.53,105.96,105.09,105.82,0.28%,3925183
2019-01-23 09:00:00,106.13,107.04,106.1,106.37,0.23%,5559277
2019-01-23 10:00:00,106.37,106.55,105.93,106.12,-0.24%,3220247
2019-01-23 11:00:00,106.13,106.28,105.35,105.54,-0.55%,2860882
2019-01-23 12:00:00,105.54,106.13,105.51,105.95,0.39%,2109213
2019-01-23 13:00:00,105.97,106.38,105.88,106.12,0.15%,2565161
2019-01-23 14:00:00,106.12,106.5,105.67,106.41,0.27%,2902732
2019-01-23 15:00:00,106.42,106.79,106.3,106.78,0.34%,3289773
2019-01-24 09:00:00,106.92,106.99,105.78,106.45,-0.44%,5387747
2019-01-24 10:00:00,106.48,106.52,105.34,105.81,-0.63%,3436521
2019-01-24 11:00:00,105.82,106.4,105.76,106.07,0.24%,2336137
2019-01-24 12:00:00,106.05,106.11,105.5,105.73,-0.30%,1972643
2019-01-24 13:00:00,105.71,105.83,105.51,105.65,-0.06%,2153013
2019-01-24 14:00:00,105.65,106.13,105.54,106.11,0.43%,2739876
2019-01-24 15:00:00,106.11,106.35,106.02,106.19,0.08%,2736492
2019-01-25 09:00:00,107.23,107.5,106.6,107.38,0.14%,6978841
2019-01-25 10:00:00,107.39,107.74,107.16,107.45,0.06%,3648288
2019-01-25 11:00:00,107.45,107.88,107.31,107.75,0.27%,3120282
2019-01-25 12:00:00,107.76,107.84,107.16,107.28,-0.45%,2492971
2019-01-25 13:00:00,107.27,107.33,106.86,106.93,-0.32%,2479778
2019-01-25 14:00:00,106.94,107.12,106.87,107.01,0.07%,2483800
2019-01-25 15:00:00,107.02,107.18,106.8,107.17,0.14%,4670676
