Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,3.46,3.52,3.41,3.5,0.98%,207061080
2019-01-07 10:00:00,3.5,3.55,3.49,3.52,0.70%,98754240
2019-01-07 11:00:00,3.52,3.6,3.52,3.59,1.96%,82796000
2019-01-07 12:00:00,3.59,3.62,3.59,3.6,0.25%,85429360
2019-01-07 13:00:00,3.6,3.61,3.58,3.59,-0.19%,64339160
2019-01-07 14:00:00,3.59,3.62,3.59,3.61,0.56%,75529000
2019-01-07 15:00:00,3.61,3.61,3.58,3.59,-0.73%,62340680
2019-01-08 09:00:00,3.67,3.67,3.44,3.45,-5.88%,289990200
2019-01-08 10:00:00,3.45,3.47,3.42,3.45,-0.20%,150854000
2019-01-08 11:00:00,3.44,3.5,3.43,3.5,1.50%,87387800
2019-01-08 12:00:00,3.5,3.5,3.47,3.48,-0.34%,56169400
2019-01-08 13:00:00,3.48,3.5,3.47,3.48,-0.05%,47955360
2019-01-08 14:00:00,3.48,3.51,3.48,3.49,0.34%,63904160
2019-01-08 15:00:00,3.5,3.51,3.49,3.5,0.01%,55022760
2019-01-09 09:00:00,3.54,3.61,3.5,3.56,0.60%,185984480
2019-01-09 10:00:00,3.56,3.56,3.51,3.55,-0.28%,95427120
2019-01-09 11:00:00,3.55,3.57,3.53,3.55,0.03%,58735040
2019-01-09 12:00:00,3.55,3.57,3.52,3.54,-0.21%,70868640
2019-01-09 13:00:00,3.55,3.55,3.51,3.53,-0.55%,62526720
2019-01-09 14:00:00,3.53,3.58,3.52,3.57,1.24%,58251200
2019-01-09 15:00:00,3.57,3.57,3.55,3.57,-0.13%,57441120
2019-01-10 09:00:00,3.55,3.59,3.48,3.57,0.80%,145338640
2019-01-10 10:00:00,3.57,3.62,3.56,3.59,0.55%,90124080
2019-01-10 11:00:00,3.59,3.62,3.59,3.62,0.69%,45774120
2019-01-10 12:00:00,3.62,3.64,3.59,3.6,-0.38%,58648560
2019-01-10 13:00:00,3.61,3.62,3.57,3.61,0.03%,54603880
2019-01-10 14:00:00,3.61,3.63,3.59,3.63,0.56%,45840160
2019-01-10 15:00:00,3.63,3.64,3.62,3.63,0.09%,61548600
2019-01-11 09:00:00,3.61,3.67,3.58,3.61,0.01%,147612720
2019-01-11 10:00:00,3.61,3.65,3.61,3.62,0.36%,57264600
2019-01-11 11:00:00,3.62,3.67,3.62,3.67,1.22%,76215160
2019-01-11 12:00:00,3.67,3.74,3.66,3.71,1.11%,204659440
2019-01-11 13:00:00,3.7,3.73,3.69,3.73,0.67%,99753960
2019-01-11 14:00:00,3.73,3.74,3.72,3.73,0.13%,128731120
2019-01-11 15:00:00,3.74,3.74,3.72,3.72,-0.38%,125004800
2019-01-14 09:00:00,3.67,3.73,3.65,3.72,1.37%,179832440
2019-01-14 10:00:00,3.72,3.76,3.72,3.76,1.00%,129897040
2019-01-14 11:00:00,3.76,3.78,3.73,3.77,0.25%,97927960
2019-01-14 12:00:00,3.77,3.78,3.74,3.75,-0.39%,81252880
2019-01-14 13:00:00,3.75,3.78,3.74,3.75,-0.15%,69231520
2019-01-14 14:00:00,3.75,3.78,3.74,3.78,0.84%,65862080
2019-01-14 15:00:00,3.78,3.79,3.76,3.76,-0.44%,83791040
2019-01-15 09:00:00,3.8,3.83,3.76,3.78,-0.55%,211681000
2019-01-15 10:00:00,3.78,3.8,3.76,3.77,-0.29%,95224400
2019-01-15 11:00:00,3.77,3.79,3.76,3.78,0.25%,61607040
2019-01-15 12:00:00,3.78,3.8,3.77,3.78,0.09%,49502080
2019-01-15 13:00:00,3.78,3.8,3.76,3.76,-0.53%,50171920
2019-01-15 14:00:00,3.76,3.77,3.73,3.74,-0.69%,71109400
2019-01-15 15:00:00,3.74,3.75,3.73,3.75,0.32%,56805280
2019-01-16 09:00:00,3.77,3.81,3.74,3.78,0.23%,131645360
2019-01-16 10:00:00,3.78,3.79,3.75,3.76,-0.53%,78692040
2019-01-16 11:00:00,3.76,3.77,3.74,3.74,-0.52%,57698680
2019-01-16 12:00:00,3.74,3.75,3.73,3.73,-0.21%,37660800
2019-01-16 13:00:00,3.73,3.75,3.72,3.74,0.20%,40141160
2019-01-16 14:00:00,3.74,3.75,3.72,3.74,-0.01%,43844120
2019-01-16 15:00:00,3.74,3.74,3.72,3.72,-0.55%,51202160
2019-01-17 09:00:00,3.68,3.72,3.66,3.72,0.92%,122238120
2019-01-17 10:00:00,3.72,3.77,3.71,3.76,1.12%,68199280
2019-01-17 11:00:00,3.76,3.77,3.74,3.75,-0.29%,50208680
2019-01-17 12:00:00,3.75,3.76,3.74,3.76,0.19%,39172360
2019-01-17 13:00:00,3.76,3.78,3.75,3.77,0.25%,41756400
2019-01-17 14:00:00,3.77,3.83,3.76,3.79,0.72%,102214600
2019-01-17 15:00:00,3.79,3.8,3.78,3.79,0.03%,45128200
2019-01-18 09:00:00,3.85,3.89,3.79,3.88,0.81%,161085480
2019-01-18 10:00:00,3.88,3.95,3.88,3.93,1.47%,140183080
2019-01-18 11:00:00,3.94,3.95,3.92,3.93,-0.10%,77660560
2019-01-18 12:00:00,3.93,3.94,3.9,3.91,-0.52%,53588520
2019-01-18 13:00:00,3.91,3.93,3.9,3.9,-0.36%,45250560
2019-01-18 14:00:00,3.9,3.91,3.87,3.9,-0.02%,74730000
2019-01-18 15:00:00,3.9,3.93,3.9,3.92,0.60%,66530200
2019-01-22 09:00:00,3.9,3.9,3.74,3.78,-2.85%,224222680
2019-01-22 10:00:00,3.78,3.79,3.76,3.79,0.09%,57695560
2019-01-22 11:00:00,3.79,3.8,3.75,3.76,-0.76%,60176320
2019-01-22 12:00:00,3.76,3.77,3.71,3.72,-1.02%,62108760
2019-01-22 13:00:00,3.72,3.75,3.71,3.71,-0.10%,55813800
2019-01-22 14:00:00,3.72,3.72,3.69,3.7,-0.30%,76791920
2019-01-22 15:00:00,3.71,3.72,3.69,3.72,0.44%,76303520
2019-01-23 09:00:00,3.78,3.86,3.76,3.8,0.70%,175676800
2019-01-23 10:00:00,3.81,3.82,3.75,3.75,-1.55%,82604240
2019-01-23 11:00:00,3.75,3.76,3.71,3.74,-0.33%,70160200
2019-01-23 12:00:00,3.73,3.75,3.71,3.73,-0.25%,50241480
