Datetime,Open,High,Low,Close,% Change,Volume
2021-01-04 09:30:00,239.68,247.91,239.06,246.72,2.94%,48538308
2021-01-04 10:30:00,246.67,248.16,242.75,245.21,-0.59%,25522500
2021-01-04 11:30:00,245.11,245.25,239.35,241.28,-1.56%,21004254
2021-01-04 12:30:00,241.25,244.0,239.97,243.73,1.03%,13451874
2021-01-04 13:30:00,243.7,245.5,242.09,242.49,-0.50%,11721450
2021-01-04 14:30:00,242.43,244.23,241.43,243.6,0.48%,11239215
2021-01-04 15:30:00,243.62,244.26,242.75,243.26,-0.15%,7376472
2021-01-05 09:30:00,241.28,245.23,239.73,244.0,1.13%,31328343
2021-01-05 10:30:00,243.97,246.25,243.52,246.19,0.91%,14987139
2021-01-05 11:30:00,246.26,246.95,244.54,245.89,-0.15%,11412648
2021-01-05 12:30:00,245.89,246.83,245.05,246.25,0.14%,8211546
2021-01-05 13:30:00,246.28,246.84,245.67,246.13,-0.06%,5762733
2021-01-05 14:30:00,246.15,246.47,244.54,245.3,-0.34%,7665231
2021-01-05 15:30:00,245.3,245.6,243.71,245.04,-0.11%,7751484
2021-01-06 09:30:00,252.83,253.83,249.7,252.46,-0.15%,37722651
2021-01-06 10:30:00,252.5,256.66,251.84,256.47,1.57%,22897647
2021-01-06 11:30:00,256.54,257.8,256.13,257.05,0.20%,15695025
2021-01-06 12:30:00,257.06,257.5,256.11,256.56,-0.19%,7931970
2021-01-06 13:30:00,256.58,258.0,254.8,254.91,-0.65%,10929795
2021-01-06 14:30:00,254.84,255.98,250.0,252.89,-0.76%,24857001
2021-01-06 15:30:00,252.84,253.98,251.67,251.99,-0.34%,9497853
2021-01-07 09:30:00,259.35,264.67,258.4,263.0,1.41%,39737334
2021-01-07 10:30:00,262.97,269.56,262.94,269.15,2.35%,34194729
2021-01-07 11:30:00,269.19,269.36,265.91,266.6,-0.96%,16955631
2021-01-07 12:30:00,266.7,267.2,265.11,266.52,-0.07%,11212365
2021-01-07 13:30:00,266.57,270.0,266.5,269.93,1.26%,15122442
2021-01-07 14:30:00,269.92,270.93,268.75,270.53,0.23%,16344546
2021-01-07 15:30:00,270.53,272.33,269.86,272.07,0.57%,11802741
2021-01-08 09:30:00,285.18,291.79,279.46,286.37,0.41%,70795797
2021-01-08 10:30:00,286.44,294.83,285.67,294.09,2.67%,39221337
2021-01-08 11:30:00,294.18,294.63,289.68,293.04,-0.39%,22185150
2021-01-08 12:30:00,293.02,294.28,287.04,289.71,-1.13%,20276775
2021-01-08 13:30:00,289.61,290.5,282.39,287.21,-0.83%,31087839
2021-01-08 14:30:00,287.19,290.51,284.97,289.1,0.66%,17492319
2021-01-08 15:30:00,289.07,294.67,288.77,293.41,1.50%,18775086
2021-01-11 09:30:00,283.13,284.81,272.33,282.6,-0.19%,67547862
2021-01-11 10:30:00,282.57,283.77,277.8,279.85,-0.96%,21120987
2021-01-11 11:30:00,279.82,281.14,278.11,278.72,-0.39%,11776530
2021-01-11 12:30:00,278.68,279.99,276.0,276.2,-0.89%,13535595
2021-01-11 13:30:00,276.17,277.45,273.0,273.86,-0.84%,18928365
2021-01-11 14:30:00,273.76,276.24,268.35,268.82,-1.81%,23358696
2021-01-11 15:30:00,268.83,272.97,267.96,270.39,0.58%,16344093
2021-01-12 09:30:00,276.95,288.33,275.78,286.67,3.51%,47062458
2021-01-12 10:30:00,286.73,288.86,285.67,287.37,0.22%,21630579
2021-01-12 11:30:00,287.49,289.33,283.0,286.0,-0.52%,22217265
2021-01-12 12:30:00,286.04,286.67,284.79,286.33,0.10%,9189300
2021-01-12 13:30:00,286.25,286.74,282.55,283.78,-0.86%,10197930
2021-01-12 14:30:00,283.7,286.7,283.51,286.16,0.87%,11629410
2021-01-12 15:30:00,286.14,286.35,282.87,283.2,-1.03%,10195659
2021-01-13 09:30:00,285.67,286.82,277.84,279.88,-2.02%,32889306
2021-01-13 10:30:00,279.98,282.27,279.0,280.81,0.30%,11056386
2021-01-13 11:30:00,280.84,280.88,278.03,279.72,-0.40%,8306763
