sweep_id,image_filename,timestamp,sweep_type,zone_level,quality_score,zone_state,ml_label,ml_notes,ml_confidence,reviewed
0_BUL_20210107_1330_294.01,0_BUL_20210107_1330_294.01.png,1/7/21 13:30,BULLISH,294.01,55.4,untested,,,,
1_BUL_20210107_1430_294.01,1_BUL_20210107_1430_294.01.png,1/7/21 14:30,BULLISH,294.01,55.9,untested,,,,
2_BUL_20210107_1530_294.01,2_BUL_20210107_1530_294.01.png,1/7/21 15:30,BULLISH,294.01,58.7,untested,,,,
3_BUL_20210108_0930_294.01,3_BUL_20210108_0930_294.01.png,1/8/21 9:30,BULLISH,294.01,90.9,untested,VAILD,,HIGH,YES
4_BUL_20210108_1030_294.01,4_BUL_20210108_1030_294.01.png,1/8/21 10:30,BULLISH,294.01,67,untested,,,,
5_BUL_20210108_1430_294.01,5_BUL_20210108_1430_294.01.png,1/8/21 14:30,BULLISH,294.01,59.1,tested,,,,
6_BUL_20210108_1530_294.01,6_BUL_20210108_1530_294.01.png,1/8/21 15:30,BULLISH,294.01,58.6,tested,,,,
7_BUL_20210111_1530_294.01,7_BUL_20210111_1530_294.01.png,1/11/21 15:30,BULLISH,294.01,58.9,tested,,,,
8_BUL_20210112_0930_294.01,8_BUL_20210112_0930_294.01.png,1/12/21 9:30,BULLISH,294.01,67.9,tested,,,,
9_BUL_20210112_1030_294.01,9_BUL_20210112_1030_294.01.png,1/12/21 10:30,BULLISH,294.01,58.2,tested,,,,
10_BUL_20210112_1230_294.01,10_BUL_20210112_1230_294.01.png,1/12/21 12:30,BULLISH,294.01,55.2,tested,,,,
11_BUL_20210112_1430_294.01,11_BUL_20210112_1430_294.01.png,1/12/21 14:30,BULLISH,294.01,58,tested,,,,
12_BUL_20210113_1030_294.01,12_BUL_20210113_1030_294.01.png,1/13/21 10:30,BULLISH,294.01,58.8,tested,,,,
13_BUL_20210113_1330_294.01,13_BUL_20210113_1330_294.01.png,1/13/21 13:30,BULLISH,294.01,56.8,tested,,,,
14_BUL_20210113_1530_294.01,14_BUL_20210113_1530_294.01.png,1/13/21 15:30,BULLISH,294.01,50.5,tested,,,,
15_BUL_20210114_0930_294.01,15_BUL_20210114_0930_294.01.png,1/14/21 9:30,BULLISH,294.01,69.8,tested,,,,
16_BUL_20210114_1130_294.01,16_BUL_20210114_1130_294.01.png,1/14/21 11:30,BULLISH,294.01,52.4,tested,,,,
17_BUL_20210114_1330_294.01,17_BUL_20210114_1330_294.01.png,1/14/21 13:30,BULLISH,294.01,57,tested,,,,
18_BUL_20210115_1030_294.01,18_BUL_20210115_1030_294.01.png,1/15/21 10:30,BULLISH,294.01,58.1,tested,,,,
19_BUL_20210115_1230_294.01,19_BUL_20210115_1230_294.01.png,1/15/21 12:30,BULLISH,294.01,56.1,tested,,,,
20_BUL_20210115_1530_294.01,20_BUL_20210115_1530_294.01.png,1/15/21 15:30,BULLISH,294.01,56.9,tested,,,,
21_BUL_20210119_0930_294.01,21_BUL_20210119_0930_294.01.png,1/19/21 9:30,BULLISH,294.01,68,tested,,,,
22_BUL_20210119_1330_294.01,22_BUL_20210119_1330_294.01.png,1/19/21 13:30,BULLISH,294.01,58.3,tested,,,,
23_BUL_20210119_1430_294.01,23_BUL_20210119_1430_294.01.png,1/19/21 14:30,BULLISH,294.01,54,tested,,,,
24_BUL_20210119_1530_294.01,24_BUL_20210119_1530_294.01.png,1/19/21 15:30,BULLISH,294.01,54.1,tested,,,,
25_BUL_20210120_0930_294.01,25_BUL_20210120_0930_294.01.png,1/20/21 9:30,BULLISH,294.01,71.4,tested,INVAILD,,HIGH,YES
26_BUL_20210120_1130_294.01,26_BUL_20210120_1130_294.01.png,1/20/21 11:30,BULLISH,294.01,55.1,tested,,,,
27_BUL_20210120_1330_294.01,27_BUL_20210120_1330_294.01.png,1/20/21 13:30,BULLISH,294.01,55.9,tested,,,,
28_BUL_20210121_1030_294.01,28_BUL_20210121_1030_294.01.png,1/21/21 10:30,BULLISH,294.01,54.6,tested,,,,
29_BUL_20210121_1230_294.01,29_BUL_20210121_1230_294.01.png,1/21/21 12:30,BULLISH,294.01,53.1,tested,,,,
30_BUL_20210121_1430_294.01,30_BUL_20210121_1430_294.01.png,1/21/21 14:30,BULLISH,294.01,42.9,tested,,,,
31_BUL_20210122_1130_294.01,31_BUL_20210122_1130_294.01.png,1/22/21 11:30,BULLISH,294.01,58.9,tested,,,,
32_BUL_20210122_1230_294.01,32_BUL_20210122_1230_294.01.png,1/22/21 12:30,BULLISH,294.01,46.3,tested,,,,
33_BUL_20210122_1330_294.01,33_BUL_20210122_1330_294.01.png,1/22/21 13:30,BULLISH,294.01,54.7,tested,,,,
34_BUL_20210122_1430_294.01,34_BUL_20210122_1430_294.01.png,1/22/21 14:30,BULLISH,294.01,53.6,tested,,,,
35_BUL_20210122_1530_294.01,35_BUL_20210122_1530_294.01.png,1/22/21 15:30,BULLISH,294.01,46.1,tested,,,,
36_BUL_20210125_0930_294.01,36_BUL_20210125_0930_294.01.png,1/25/21 9:30,BULLISH,294.01,90.6,tested,VAILD,,MEDIUM,YES
37_BEA_20210125_1030_295.65,37_BEA_20210125_1030_295.65.png,1/25/21 10:30,BEARISH,295.65,86.2,mitigated,VAILD,,HIGH,YES
38_BUL_20210125_1230_294.01,38_BUL_20210125_1230_294.01.png,1/25/21 12:30,BULLISH,294.01,62.5,mitigated,,,,
39_BUL_20210125_1330_294.01,39_BUL_20210125_1330_294.01.png,1/25/21 13:30,BULLISH,294.01,53.6,mitigated,,,,
40_BUL_20210125_1530_294.01,40_BUL_20210125_1530_294.01.png,1/25/21 15:30,BULLISH,294.01,57.9,mitigated,,,,
41_BUL_20210126_0930_294.01,41_BUL_20210126_0930_294.01.png,1/26/21 9:30,BULLISH,294.01,78.4,mitigated,VAILD,,HIGH,YES
42_BUL_20210126_1030_294.01,42_BUL_20210126_1030_294.01.png,1/26/21 10:30,BULLISH,294.01,52.6,mitigated,,,,
43_BUL_20210126_1130_294.01,43_BUL_20210126_1130_294.01.png,1/26/21 11:30,BULLISH,294.01,55.4,mitigated,,,,
44_BEA_20221227_1130_108.74,44_BEA_20221227_1130_108.74.png,12/27/22 11:30,BEARISH,108.74,53.2,untested,,,,
45_BEA_20221227_1330_108.74,45_BEA_20221227_1330_108.74.png,12/27/22 13:30,BEARISH,108.74,46.5,untested,,,,
