sweep_id,image_filename,timestamp,sweep_type,zone_level,quality_score,zone_state,ml_label,ml_notes,ml_confidence,reviewed
0_BUL_20210419_1430_236.14,0_BUL_20210419_1430_236.14.png,2021-04-19 14:30:00,BULLISH,236.14,56,active,,,,
1_BUL_20210427_1030_236.14,1_BUL_20210427_1030_236.14.png,2021-04-27 10:30:00,BULLISH,236.14,55,active,,,,
2_BUL_20210803_1530_236.14,2_BUL_20210803_1530_236.14.png,2021-08-03 15:30:00,BULLISH,236.14,39,active,,,,
3_BUL_20210809_0930_236.14,3_BUL_20210809_0930_236.14.png,2021-08-09 09:30:00,BULLISH,236.14,63,active,,,,
4_BEA_20210813_0930_242.43,4_BEA_20210813_0930_242.43.png,2021-08-13 09:30:00,BEARISH,242.43,81,active,,,,
5_BUL_20210824_1430_236.14,5_BUL_20210824_1430_236.14.png,2021-08-24 14:30:00,BULLISH,236.14,43,active,,,,
6_BUL_20210825_0930_236.14,6_BUL_20210825_0930_236.14.png,2021-08-25 09:30:00,BULLISH,236.14,67,active,,,,
7_BUL_20210827_0930_236.14,7_BUL_20210827_0930_236.14.png,2021-08-27 09:30:00,BULLISH,236.14,84,active,,,,
8_BEA_20211012_1230_270.05,8_BEA_20211012_1230_270.05.png,2021-10-12 12:30:00,BEARISH,270.05,58,active,,,,
9_BEA_20211013_0930_270.05,9_BEA_20211013_0930_270.05.png,2021-10-13 09:30:00,BEARISH,270.05,63,active,,,,
10_BEA_20211013_1130_270.05,10_BEA_20211013_1130_270.05.png,2021-10-13 11:30:00,BEARISH,270.05,53,active,,,,
11_BUL_20220128_0930_267.93,11_BUL_20220128_0930_267.93.png,2022-01-28 09:30:00,BULLISH,267.93,95,active,,,,
12_BUL_20220222_1330_267.93,12_BUL_20220222_1330_267.93.png,2022-02-22 13:30:00,BULLISH,267.93,66,active,,,,
13_BEA_20220225_0930_270.05,13_BEA_20220225_0930_270.05.png,2022-02-25 09:30:00,BEARISH,270.05,79,active,,,,
21_BEA_20220225_0930_267.28,21_BEA_20220225_0930_267.28.png,2022-02-25 09:30:00,BEARISH,267.28,79,active,,,,
22_BEA_20220225_1230_267.28,22_BEA_20220225_1230_267.28.png,2022-02-25 12:30:00,BEARISH,267.28,64,active,,,,
23_BUL_20220308_0930_260.73,23_BUL_20220308_0930_260.73.png,2022-03-08 09:30:00,BULLISH,260.73,90,active,,,,
14_BUL_20220308_0930_267.93,14_BUL_20220308_0930_267.93.png,2022-03-08 09:30:00,BULLISH,267.93,90,active,,,,
15_BUL_20220308_1030_267.93,15_BUL_20220308_1030_267.93.png,2022-03-08 10:30:00,BULLISH,267.93,62,active,,,,
20_BUL_20220404_0930_368.61,20_BUL_20220404_0930_368.61.png,2022-04-04 09:30:00,BULLISH,368.61,88,active,,,,
24_BUL_20220510_1130_260.73,24_BUL_20220510_1130_260.73.png,2022-05-10 11:30:00,BULLISH,260.73,64,active,,,,
25_BUL_20220701_1230_223.29,25_BUL_20220701_1230_223.29.png,2022-07-01 12:30:00,BULLISH,223.29,61,active,,,,
26_BUL_20220701_1330_223.29,26_BUL_20220701_1330_223.29.png,2022-07-01 13:30:00,BULLISH,223.29,53,active,,,,
27_BEA_20220706_0930_230.04,27_BEA_20220706_0930_230.04.png,2022-07-06 09:30:00,BEARISH,230.04,64,active,,,,
16_BUL_20220727_0930_267.93,16_BUL_20220727_0930_267.93.png,2022-07-27 09:30:00,BULLISH,267.93,82,active,,,,
17_BUL_20220727_1030_267.93,17_BUL_20220727_1030_267.93.png,2022-07-27 10:30:00,BULLISH,267.93,61,active,,,,
18_BUL_20220901_1230_267.93,18_BUL_20220901_1230_267.93.png,2022-09-01 12:30:00,BULLISH,267.93,54,active,,,,
19_BUL_20220930_0930_267.93,19_BUL_20220930_0930_267.93.png,2022-09-30 09:30:00,BULLISH,267.93,80,active,,,,
28_BUL_20221007_1230_223.29,28_BUL_20221007_1230_223.29.png,2022-10-07 12:30:00,BULLISH,223.29,59,active,,,,
35_BUL_20221021_0930_206.27,35_BUL_20221021_0930_206.27.png,2022-10-21 09:30:00,BULLISH,206.27,78,active,,,,
36_BUL_20221024_1230_206.27,36_BUL_20221024_1230_206.27.png,2022-10-24 12:30:00,BULLISH,206.27,62,active,,,,
37_BUL_20221024_1330_206.27,37_BUL_20221024_1330_206.27.png,2022-10-24 13:30:00,BULLISH,206.27,58,active,,,,
29_BEA_20221026_1030_230.04,29_BEA_20221026_1030_230.04.png,2022-10-26 10:30:00,BEARISH,230.04,54,active,,,,
39_BEA_20221027_0930_232.09,39_BEA_20221027_0930_232.09.png,2022-10-27 09:30:00,BEARISH,232.09,83,active,,,,
30_BEA_20221027_0930_230.04,30_BEA_20221027_0930_230.04.png,2022-10-27 09:30:00,BEARISH,230.04,78,active,,,,
31_BUL_20221028_1030_223.29,31_BUL_20221028_1030_223.29.png,2022-10-28 10:30:00,BULLISH,223.29,62,active,,,,
32_BUL_20221028_1130_223.29,32_BUL_20221028_1130_223.29.png,2022-10-28 11:30:00,BULLISH,223.29,62,active,,,,
48_BEA_20221101_0930_232.09,48_BEA_20221101_0930_232.09.png,2022-11-01 09:30:00,BEARISH,232.09,90,active,,,,
33_BEA_20221101_1130_230.04,33_BEA_20221101_1130_230.04.png,2022-11-01 11:30:00,BEARISH,230.04,61,active,,,,
34_BEA_20221101_1230_230.04,34_BEA_20221101_1230_230.04.png,2022-11-01 12:30:00,BEARISH,230.04,47,active,,,,
35_BUL_20221115_0930_196.57,35_BUL_20221115_0930_196.57.png,2022-11-15 09:30:00,BULLISH,196.57,85,active,,,,
39_BEA_20230130_0930_179.06,39_BEA_20230130_0930_179.06.png,2023-01-30 09:30:00,BEARISH,179.06,73,active,,,,
43_BUL_20230208_0930_196.57,43_BUL_20230208_0930_196.57.png,2023-02-08 09:30:00,BULLISH,196.57,82,active,,,,
50_BUL_20230208_0930_198.95,50_BUL_20230208_0930_198.95.png,2023-02-08 09:30:00,BULLISH,198.95,77,active,,,,
