Date,Open,High,Low,Close,% Change,Volume
2019-01-07 09:00:00,21.43,21.91,21.2,21.91,2.23%,27170550
2019-01-07 10:00:00,21.92,22.35,21.87,22.01,0.41%,25232280
2019-01-07 11:00:00,22.03,22.21,21.97,22.08,0.24%,12915015
2019-01-07 12:00:00,22.07,22.45,22.03,22.36,1.31%,16082325
2019-01-07 13:00:00,22.36,22.4,22.11,22.14,-0.97%,9382890
2019-01-07 14:00:00,22.14,22.32,22.09,22.31,0.78%,8961045
2019-01-07 15:00:00,22.32,22.37,22.24,22.32,0.01%,11079270
2019-01-08 09:00:00,22.78,22.93,22.17,22.19,-2.60%,40951695
2019-01-08 10:00:00,22.17,22.17,21.81,21.92,-1.13%,18917820
2019-01-08 11:00:00,21.88,22.4,21.85,22.34,2.08%,13204770
2019-01-08 12:00:00,22.32,22.36,22.22,22.3,-0.11%,7583280
2019-01-08 13:00:00,22.3,22.45,22.23,22.37,0.34%,7139730
2019-01-08 14:00:00,22.39,22.46,22.22,22.35,-0.18%,7178940
2019-01-08 15:00:00,22.35,22.37,22.32,22.35,0,7763880
2019-01-09 09:00:00,22.39,22.73,22.1,22.55,0.70%,21555840
2019-01-09 10:00:00,22.55,22.57,22.34,22.54,-0.04%,9791640
2019-01-09 11:00:00,22.53,22.74,22.47,22.73,0.87%,12030180
2019-01-09 12:00:00,22.73,22.9,22.7,22.84,0.48%,14394285
2019-01-09 13:00:00,22.85,22.88,22.65,22.69,-0.71%,7729275
2019-01-09 14:00:00,22.68,22.79,22.62,22.71,0.14%,6523605
2019-01-09 15:00:00,22.71,22.72,22.55,22.57,-0.64%,7984395
2019-01-10 09:00:00,22.32,22.5,22.12,22.5,0.81%,20801280
2019-01-10 10:00:00,22.51,22.81,22.5,22.64,0.55%,16911315
2019-01-10 11:00:00,22.63,22.85,22.6,22.84,0.93%,11396055
2019-01-10 12:00:00,22.85,22.89,22.67,22.75,-0.43%,10897005
2019-01-10 13:00:00,22.76,22.83,22.62,22.82,0.24%,6928935
